Fecha,url,Plataforma,Performance,Accesibility,Best Practices,SEO,First Contentful Paint (FCP),Total Blocking Time (TBT),Speed Index (SI),Largest Contentful Paint (LCP),Cumulative Layout Shift (CLS),First Input Delay (FID),Interaction to Next Paint (INP),Time to First Byte (TTFB)
2024-01-23 10:18:51,https://www.theguardian.com/technology/2024/jan/23/techscape-newsletter-apple-vision-pro-headset-netflix-spotify-youtube-apps,mobile,0.26,0.91,0.56,0.97,3.2 s,"4,300 ms",9.6 s,4.1 s,0.317,0.019,23.8 s,0.273
2024-01-23 10:19:28,https://www.theguardian.com/technology/2024/jan/23/techscape-newsletter-apple-vision-pro-headset-netflix-spotify-youtube-apps,desktop,0.54,0.93,0.56,1.0,0.8 s,560 ms,2.7 s,0.9 s,0.301,0.005,6.2 s,0.251
2024-01-24 09:48:13,https://www.theguardian.com/world/live/2024/jan/24/russia-ukraine-war-live-latest-news-updates,mobile,0.23,0.92,0.96,0.96,3.0 s,"3,050 ms",6.4 s,5.6 s,0.317,0.019,235,0.274
2024-01-24 09:48:45,https://www.theguardian.com/world/live/2024/jan/24/russia-ukraine-war-live-latest-news-updates,desktop,0.89,0.96,0.96,1.0,0.7 s,240 ms,1.3 s,0.9 s,0.059,0.005,99,0.251
