Fecha,url,Plataforma,Performance,Accesibility,Best Practices,SEO,First Contentful Paint (FCP),Total Blocking Time (TBT),Speed Index (SI),Largest Contentful Paint (LCP),Cumulative Layout Shift (CLS),First Input Delay (FID),Interaction to Next Paint (INP),Time to First Byte (TTFB)
2024-01-23 10:17:46,https://www.bluradio.com/deportes/futbol-colombiano/ex-atletico-nacional-busca-brillar-en-el-futbol-espanol-asi-llega-al-villarreal-so35,mobile,0.31,0.95,0.52,0.92,3.3 s,"4,960 ms",10.0 s,7.6 s,0.01,0.059,29.8 s,0.9
2024-01-23 10:18:17,https://www.bluradio.com/deportes/futbol-colombiano/ex-atletico-nacional-busca-brillar-en-el-futbol-espanol-asi-llega-al-villarreal-so35,desktop,0.6,0.95,0.56,0.92,1.0 s,350 ms,2.1 s,1.6 s,0.258,0.014,4.8 s,0.75
2024-01-24 09:47:04,https://www.bluradio.com/deportes/futbol-colombiano/final-de-la-superliga-betplay-entre-millonarios-y-junior-a-que-hora-y-donde-ver-cb20,mobile,0.34,0.91,0.52,0.92,3.2 s,"6,490 ms",14.0 s,5.7 s,0.002,0.059,293,0.898
2024-01-24 09:47:43,https://www.bluradio.com/deportes/futbol-colombiano/final-de-la-superliga-betplay-entre-millonarios-y-junior-a-que-hora-y-donde-ver-cb20,desktop,0.54,0.91,0.37,0.92,1.0 s,370 ms,3.2 s,1.7 s,0.261,0.014,162,0.745
