Fecha,url,Plataforma,Performance,Accesibility,Best Practices,SEO,First Contentful Paint (FCP),Total Blocking Time (TBT),Speed Index (SI),Largest Contentful Paint (LCP),Cumulative Layout Shift (CLS),First Input Delay (FID),Interaction to Next Paint (INP),Time to First Byte (TTFB)
2024-01-23 10:13:59,https://www.elpais.com.co/cali/piden-al-alcalde-alejandro-eder-definir-futuro-del-alumbrado-publico-de-cali-un-negocio-de-500000-millones-2341.html,mobile,0.27,0.81,0.52,0.78,4.8 s,"6,000 ms",15.9 s,7.3 s,0.035,0.031,34.9 s,0.854
2024-01-23 10:14:47,https://www.elpais.com.co/cali/piden-al-alcalde-alejandro-eder-definir-futuro-del-alumbrado-publico-de-cali-un-negocio-de-500000-millones-2341.html,desktop,0.54,0.91,0.59,0.83,1.2 s,"1,210 ms",4.9 s,1.5 s,0.013,0.004,6.9 s,0.741
2024-01-24 09:42:47,https://www.elpais.com.co/cali/alcalde-alejandro-eder-revelo-que-encontraron-un-contrato-de-9-millones-de-dolares-con-una-empresa-que-ni-siquiera-estaba-enterada-del-proceso-2327.html,mobile,0.28,0.81,0.56,0.78,4.5 s,"11,500 ms",15.3 s,7.1 s,0.042,0.031,361,0.852
2024-01-24 09:43:37,https://www.elpais.com.co/cali/alcalde-alejandro-eder-revelo-que-encontraron-un-contrato-de-9-millones-de-dolares-con-una-empresa-que-ni-siquiera-estaba-enterada-del-proceso-2327.html,desktop,0.42,0.86,0.59,0.75,1.1 s,"1,380 ms",5.3 s,3.1 s,0.014,0.004,108,0.742
