Fecha,url,Plataforma,Performance,Accesibility,Best Practices,SEO,First Contentful Paint (FCP),Total Blocking Time (TBT),Speed Index (SI),Largest Contentful Paint (LCP),Cumulative Layout Shift (CLS),First Input Delay (FID),Interaction to Next Paint (INP),Time to First Byte (TTFB)
2024-01-23 10:22:46,https://elcomercio.pe/politica/gobierno/dina-boluarte-cambia-mando-policial-tras-agresion-la-historia-de-su-reunion-con-saliente-comandante-general-pnp-victor-zanabria-oscar-arriola-noticia/,mobile,0.53,0.73,0.56,0.93,1.8 s,"11,440 ms",14.0 s,3.0 s,0.046,0.04,42.1 s,1.002
2024-01-23 10:26:12,https://elcomercio.pe/politica/gobierno/dina-boluarte-cambia-mando-policial-tras-agresion-la-historia-de-su-reunion-con-saliente-comandante-general-pnp-victor-zanabria-oscar-arriola-noticia/,desktop,0.63,0.77,0.56,0.92,0.5 s,820 ms,3.9 s,0.8 s,0.017,0.004,10.0 s,0.866
2024-01-24 09:55:04,https://elcomercio.pe/politica/congreso/congreso-paul-gutierrez-y-german-tacuri-faltaron-a-dos-sesiones-claves-del-pleno-por-participar-en-audiencia-sobre-momias-y-ovnis-licencia-mesa-directiva-bloque-magisterial-noticia/,mobile,0.53,0.73,0.52,0.92,1.8 s,"11,240 ms",14.8 s,3.0 s,0.05,0.04,244,1.001
2024-01-24 09:57:28,https://elcomercio.pe/politica/congreso/congreso-paul-gutierrez-y-german-tacuri-faltaron-a-dos-sesiones-claves-del-pleno-por-participar-en-audiencia-sobre-momias-y-ovnis-licencia-mesa-directiva-bloque-magisterial-noticia/,desktop,0.61,0.77,0.52,0.92,0.6 s,"1,210 ms",3.5 s,0.9 s,0.001,0.004,72,0.868
