Fecha,url,Plataforma,Performance,Accesibility,Best Practices,SEO,First Contentful Paint (FCP),Total Blocking Time (TBT),Speed Index (SI),Largest Contentful Paint (LCP),Cumulative Layout Shift (CLS),First Input Delay (FID),Interaction to Next Paint (INP),Time to First Byte (TTFB)
2024-01-23 10:29:05,https://www.lanacion.com.ar/deportes/tenis/australian-open-novak-djokovic-entre-el-exito-ante-taylor-fritz-para-avanzar-a-su-undecima-semifinal-nid23012024/,mobile,0.48,0.88,0.52,1,2.2 s,"35,420 ms",33.1 s,3.6 s,0,0.068,91.8 s,0.753
2024-01-23 10:31:00,https://www.lanacion.com.ar/deportes/tenis/australian-open-novak-djokovic-entre-el-exito-ante-taylor-fritz-para-avanzar-a-su-undecima-semifinal-nid23012024/,desktop,0.58,0.84,0.56,1,0.8 s,"3,570 ms",7.1 s,1.0 s,0,0.009,21.2 s,0.458
2024-01-24 09:58:11,https://www.lanacion.com.ar/deportes/natacion/analuz-pellitero-la-nadadora-ciega-que-casi-se-ahoga-a-los-4-anos-y-colecciona-medallas-nid24012024/,mobile,0.15,0.88,0.56,0.86,4.7 s,"9,610 ms",15.1 s,31.7 s,0.231,0.069,580,0.754
2024-01-24 09:58:43,https://www.lanacion.com.ar/deportes/natacion/analuz-pellitero-la-nadadora-ciega-que-casi-se-ahoga-a-los-4-anos-y-colecciona-medallas-nid24012024/,desktop,0.15,0.88,0.56,0.83,0.9 s,860 ms,4.6 s,6.1 s,0.687,0.009,191,0.457
