Fecha,url,Plataforma,Performance,Accesibility,Best Practices,SEO,First Contentful Paint (FCP),Total Blocking Time (TBT),Speed Index (SI),Largest Contentful Paint (LCP),Cumulative Layout Shift (CLS),First Input Delay (FID),Interaction to Next Paint (INP),Time to First Byte (TTFB)
2024-01-23 10:09:46,https://www.pulzo.com/deportes/tulio-gomez-culpa-su-hija-marcela-que-gareca-no-llegara-america-video-PP3395947,mobile,0.35,0.85,0.96,1.0,1.7 s,"5,140 ms",10.8 s,13.8 s,0,0.092,22.7 s,0.828
2024-01-23 10:10:46,https://www.pulzo.com/deportes/tulio-gomez-culpa-su-hija-marcela-que-gareca-no-llegara-america-video-PP3395947,desktop,0.7,0.9,0.96,0.92,0.6 s,600 ms,2.5 s,0.8 s,0,0.004,5.1 s,0.93
2024-01-24 09:37:41,https://www.pulzo.com/deportes/campeonato-nacional-ruta-2024-recorridos-figuras-como-rigo-nairo-egan-PP3398483,mobile,0.64,0.82,1,1.0,1.7 s,"1,900 ms",5.3 s,2.6 s,0,0.092,354,0.82
2024-01-24 09:38:42,https://www.pulzo.com/deportes/campeonato-nacional-ruta-2024-recorridos-figuras-como-rigo-nairo-egan-PP3398483,desktop,0.87,0.91,1,0.92,0.4 s,260 ms,1.7 s,0.9 s,0.008,0.004,77,0.92
